wavelength_um,radiance_normalized
4.3360740296683895,0.0879211704645032
4.4129408429874335,0.08321292550263158
4.491170296092936,0.07873230991006201
4.570786544886597,0.07447028979070595
4.651814173488653,0.07041802622360643
4.734278201829013,0.06656688631140056
4.8182040933729535,0.06290845237353135
4.903617762983819,0.05943452942744658
4.990545584925098,0.056137151095329296
5.079014401004328,0.05300858406794168
5.169051528861343,0.050041331251009014
5.26068477040355,0.04722813371329664
5.353942420390655,0.04456197154922261
5.448853275171552,0.042036063762513794
5.545446641576218,0.03964386727114325
5.643752345965069,0.03737907512761361
5.74380074343891,0.035235614042576746
5.845622727211973,0.0332076412938957
5.949249738151296,0.03128954109750984
6.054713774485073,0.029475920510951374
6.162047401683125,0.02776160493503418
6.271283762512636,0.026141633274142803
6.382456587271966,0.024611252810693825
6.495600204206086,0.02316591384470307
6.610749550106444,0.02180126414501667
6.7279401810989325,0.020513143254602458
6.847208283622964,0.019297576688396177
6.96859068560518,0.018150770058512802
7.0921248678313535,0.017069103158184933
7.217848975519776,0.016049124032569334
7.345801830099787,0.015087543061550395
7.476022941199271,0.014181227076871602
7.608552518844419,0.01332719353333326
7.74343148587602,0.012522604751384978
7.880701490585591,0.011764762246229497
8.020404919575771,0.011051101156504962
8.16258491084852,0.010379184783741642
8.307285367125326,0.009746699252067316
8.454550969403742,0.00915144829606565
8.604427190753956,0.008591348183265408
8.75696031036023,0.008064422776435121
8.912197427810968,0.007568798739687859
9.070186477642386,0.007102700891335721
9.23097624413981,0.0066644477054845575
9.394616376401363,0.006252446963503471
9.561157403668854,0.005865191555742724
9.730650750930293,0.00550125543319951
9.90314875479898,0.005159289708232524
10.078704679674198,0.004838018902902835
10.25737273418837,0.004536237343061474
10.439208087945717,0.004252805695907973
10.6242668885576,0.0039866476484038274
10.812606278980072,0.003736746723635723
11.004284415158557,0.003502143231981813
11.199360483985346,0.003281931353733124
11.397894721575636,0.003075256349660318
11.599948431867215,0.0028813118958892227
11.80558400555025,0.0026993375393506236
12.014864939332258,0.002528616270002552
12.227855855544957,0.0023684722059778554
12.444622522098465,0.0022182683877892974
12.665231872789201,0.0020774046777212833
12.88975202796804,0.0019453157605524548
13.11825231557463,0.0018214692417838315
13.3508032925446,0.0017053638395900734
13.587476766596373,0.0015965276667661505
13.828345818404207,0.0014945165990063697
14.073484824164186,0.0013989127259254092
14.322969478560214,0.0013093228813107181
14.576876818137404,0.001225377249181131
14.835285245089532,0.0011467280423170976
15.098274551468199,0.0010730482500215558
15.365925943821447,0.0010040304519673246
15.63832206826868,0.0009393856950860247
15.915547036020614,0.0008788424305532505
16.19768644935111,0.0008221455080261811
16.484827428029902,0.0007690552243904378
16.77705863622357,0.0007193464243742548
17.074470309873394,0.0006728076504878631
17.377154284558927,0.0006292403398450683
17.685204023854904,0.0005884580655218179
17.99871464819149,0.0005502858202022168
18.31778296422554,0.0005145593399568578
18.64250749473305,0.00048112446609000555
18.9729885090312,0.0004498365430821806
19.309328053939655,0.0004205598507418801
19.651629985291102,0.000393167068765097
20.0,0.00036753877198371436
