T_K,f_Na_over_ground,f_K_over_ground,f_Li_over_ground
1768.0672268907563,2.006644971857389e-06,4.915169396233752e-05,1.080949745375161e-05
1777.310924369748,2.1560991221556258e-06,5.194122699212642e-05,1.1513306113398926e-05
1786.5546218487395,2.3149630491009904e-06,5.48577306265782e-05,1.225493802179887e-05
1795.798319327731,2.483713787815362e-06,5.7905420506355135e-05,1.3035961929082424e-05
1805.0420168067226,2.662846061768872e-06,6.108859034497692e-05,1.3857989643947269e-05
1814.2857142857142,2.8528726441903072e-06,6.441161155238309e-05,1.4722676404981753e-05
1823.5294117647059,3.0543247165836226e-06,6.787893281640838e-05,1.5631721232592993e-05
1832.7731092436975,3.2677522240426534e-06,7.149507964283732e-05,1.6586867261270066e-05
1842.0168067226891,3.493724227060265e-06,7.526465385474216e-05,1.758990205193648e-05
1851.2605042016808,3.732829249533071e-06,7.919233305183356e-05,1.864265788417235e-05
1860.5042016806722,3.985675622667512e-06,8.328287003058925e-05,1.9747012028108923e-05
1869.7478991596638,4.252891824498854e-06,8.754109216594758e-05,2.0904886995823004e-05
1878.9915966386554,4.535126814739983e-06,9.19719007553803e-05,2.211825077208237e-05
1888.235294117647,4.833050364683187e-06,9.658027032618318e-05,2.3389117024315794e-05
1897.4789915966385,5.147353381884261e-06,0.00010137124790684334,2.4719545291705254e-05
1906.7226890756301,5.478748229364986e-06,0.00010634995226336372,2.6111641153320012e-05
1915.9663865546217,5.827969039076664e-06,0.00011152157310143845,2.7567556375233756e-05
1925.2100840336134,6.1957720193747895e-06,0.00011689137023539805,2.9089489036589197e-05
1934.453781512605,6.582935756262065e-06,0.00012246467272484835,3.0679683634594364e-05
1943.6974789915967,6.990261508164568e-06,0.00012824687797994728,3.2340431168457266e-05
1952.9411764705883,7.418573494013446e-06,0.00013424345083627053,3.4074069202283775e-05
1962.18487394958,7.868719174412671e-06,0.00014045992260023103,3.5882981906985915e-05
1971.4285714285713,8.341569525681317e-06,0.00014690189006602095,3.7769600081265335e-05
1980.672268907563,8.838019306566792e-06,0.00015357501450505594,3.9736401151756345e-05
1989.9159663865546,9.358987317434102e-06,0.00016048502062890468,4.178590915243077e-05
1999.1596638655462,9.905416651744455e-06,0.00016763769552669193,4.39206946833849e-05
2008.4033613445376,1.0478274939644965e-05,0.00017503888757796338,4.6143374849146056e-05
2017.6470588235293,1.107855458349995e-05,0.00018269450534200884,4.845661317665255e-05
